client_id,num_items,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
part_0,4607,2763,163,0.0,0.0,129,975,0.0,0.0,577,0.0
part_1,4632,0.0,4074,0.0,0.0,433,0.0,0.0,0.0,1,124
part_10,4717,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31,4685
part_11,5065,0.0,20,5,5000,1,0.0,20,1,17,1
part_2,7513,0.0,0.0,2579,0.0,0.0,0.0,4934,0.0,0.0,0.0
part_3,240,0.0,0.0,0.0,0.0,34,79,0.0,0.0,13,114
part_4,495,0.0,441,0.0,0.0,0.0,0.0,44,0.0,0.0,10
part_5,4668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4668,0.0,0.0
part_6,3972,0.0,0.0,25,0.0,1,3946,0.0,0.0,0.0,0.0
part_7,5330,2237,302,2391,0.0,1,0.0,2,331,0.0,66
part_8,4395,0.0,0.0,0.0,0.0,4395,0.0,0.0,0.0,0.0,0.0
part_9,4366,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,4361,0.0
